Franco Pancheri
Goran Pandev
Egisto Pandolfini
Tristano Pangaro
Armando Pantanelli
Christian Panucci
Dino Panzanato
Raffaele Paolino
Nicola Papa
Andrea Papetti
Amerigo Paradiso
Lorenzo Paramatti
Fausto Pari
Pasquale Parodi
Elio Parolini
Luigi Parrocchetti
Simone Pasa
Giancarlo Pasinato
Giovanni Pasquale
Ubaldo Passalacqua
Daniel Passarella
Roberto Passarin
Giovanni Passiglia
Dario Passoni
Benjamin Pavard
Cristiano Pavone
Giuseppe Pavone
Antonio Payer
Carlo Payer
Giampaolo Pazzini
Marco Pecoraro Scanio
Simone Pecorini
Luis Pedemonte
Angelo Pedrazzini
Luigi Pedrazzini
Alessandro Pedroni
Joaquín Peiró
Massimo Pellegrini
Sergio Pellizzaro
Enzo Pensotti
Romano Penzo
Sixto Peralta
Antonio Perduca
Giovanni Perego
Álvaro Pereira
Eligio Peretti
Bernardo Perin
Ivan Perišić
Attilio Perotti
Giuseppe Peruchetti
Angelo Peruzzi
Alfred Peterly
Ernest Peterly
Bruno Petroni
Franco Pian
Armando Picchi
Teodoro Piccinno
Giordano Picciga
Silvio Pietroboni
Alberto Pignattelli
Andrea Pinamonti
Federico Piovaccari
Adriano Piraccini
Andrea Pirlo
Lorenzo Pirola
Anselmo Pisa
Reno Piscopo
Alessandro Pistone
Alfredo Pitto
Gino Pivatelli
David Pizarro
Fausto Pizzi
Lukas Podolski
Tiziano Polenghi
Andrea Poli
Bernardo Poli
Cesare Poli
Matteo Politano
Andy Polo
Roberto Poluzzi
Marco Pompetti
Walter Pontel
Franco Ponzinibio
Răzvan Popa
Roberto Porta
Alessandro Potenza
Pietro Povero
Antonio Powolny
Flavio Pozzani
Piero Pozzi
Víctor Pozzo
Claudio Pressich
Herbert Prohaska
Ivan Provedel
Livio Puccioni
Sandro Puppo
George Pușcaș
Bruno Quaresima
Ricardo Quaresma
Carlo Alberto Quario
Damiano Quintieri
Nicolò Radaelli
Ionuț Radu
Sebastián Rambert
Orazio Rancati
Andrea Ranocchia
Sergio Realini
Giancarlo Rebizzi
Edgardo Rebosio
Pietro Rebuzzi
Angelo Recchi
Álvaro Recoba
Vittorio Redaelli
Luciano Redegalli
Carlo Reggiani
Alberto Reif
Ivan Režić
Sebastián Ribas
Caio Ribeiro
Stefano Ricci
Lino Ricciuti
Hugo Rietmann
Oscar Righetti
Lorenzo Righi
Michele Rigione
Rincón
Martín Rivas
Nelson Rivas
Rigoberto Rivas
Alberto Rivolta
Enrico Rivolta
Giuseppe Rizzi
Luigi Rizzi
Juan Rizzo
Eugenio Rizzolini
Anselmo Robbiati
Luigi Robbiati
Roberto Carlos da Silva
Luigi Rocca
Michele Rocca
Tommaso Rocchi
Pasquale Domenico Rocco
Rolando
Giovanni Roletto
Andrea Romitti
Ronaldo
Flavio Ronchi
Franco Rosa
Domenico Rosati
Giorgio Roselli
Licio Rossetti
Marino Rossetti
Adriano Rossi
Emilio Rossi
Italo Rossi
Renzo Rossi
Stefano Rossini
Renzo Rovatti
Vittorio Rovelli
Matteo Rover
Mario Rubinato
Angelo Ruffinoni
Erminio Rullo
Karl-Heinz Rummenigge
Nello Russo
Antonio Sabato
Orlando Sain
Trent Sainsbury
Costantino Sala
Marco Sala
Valentino Sala
Eddie Salcedo
Igor' Šalimov
Gaetano Salvemini
